customer_id,months_subscribed,monthly_fee,total_spend,plan_type,payment_method,paperless_billing,is_senior,has_partner,has_dependents,addon_services,logins_30d,features_used,open_tickets_30d,days_since_last_interaction,usage_change_pct,snapshot_date,churn_30d
1453-RZFON,1,49.9,49.9,monthly,Mailed check,0,0,0,1,1,7,7,1,3,-30.9,2024-01-08,0
7252-NTGSS,1,45.15,45.15,monthly,Mailed check,0,0,0,0,0,17,10,1,0,-12.8,2024-01-08,0
7010-BRBUU,72,24.1,1734.65,biennial,Credit card (automatic),0,0,1,1,0,5,7,0,10,30.7,2024-01-08,0
7242-EDTYC,44,19.55,819.95,biennial,Bank transfer (automatic),0,0,0,1,0,24,7,0,0,4.2,2024-01-08,0
9909-IDLEK,20,96.8,1826.7,monthly,Mailed check,0,0,1,1,3,17,8,1,0,1.3,2024-01-08,0
0572-ZJKLT,46,99.65,4630.2,biennial,Mailed check,0,0,1,1,4,2,9,0,8,-8.2,2024-01-08,0
4412-YLTKF,27,78.05,2135.5,monthly,Electronic check,1,1,0,0,1,14,3,0,22,5.4,2024-01-08,1
7501-IWUNG,61,73.8,4616.05,biennial,Bank transfer (automatic),1,0,1,1,4,10,4,0,13,3.7,2024-01-08,0
3982-JGSFD,36,20.35,695.85,annual,Credit card (automatic),1,0,0,0,0,12,10,0,9,-2.7,2024-01-08,0
4549-ZDQYY,52,57.95,3042.25,annual,Credit card (automatic),0,0,0,0,3,18,2,1,9,22.2,2024-01-08,0
6762-NSODU,46,19.4,958.15,biennial,Credit card (automatic),0,0,1,1,0,21,4,0,2,15.4,2024-01-08,0
9313-CDOGY,38,19.6,717.3,monthly,Electronic check,0,0,1,1,0,27,3,0,8,-21.5,2024-01-08,0
2108-GLPQB,25,55.55,1405.3,monthly,Credit card (automatic),0,0,1,0,1,28,10,0,18,-14.3,2024-01-09,0
6112-KTHFQ,13,19.3,279.3,monthly,Mailed check,1,0,0,0,0,23,7,0,15,-29.1,2024-01-09,0
0650-BWOZN,18,73.55,1359.45,monthly,Electronic check,1,1,0,0,1,0,6,2,0,24.9,2024-01-09,0
2068-WWXQZ,46,20.05,902.0,biennial,Bank transfer (automatic),0,0,0,0,0,16,7,0,5,20.9,2024-01-09,0
3723-BFBGR,24,54.8,1291.3,monthly,Credit card (automatic),0,1,0,0,1,22,6,1,10,-5.9,2024-01-09,0
0080-EMYVY,14,51.45,727.85,annual,Credit card (automatic),0,0,0,0,1,17,3,0,12,24.4,2024-01-09,0
7795-CFOCW,45,42.3,1840.75,annual,Bank transfer (automatic),0,0,0,0,3,12,9,0,3,-29.8,2024-01-09,0
6614-VBEGU,24,69.45,1614.05,monthly,Bank transfer (automatic),1,0,1,0,3,15,7,2,10,-8.3,2024-01-09,0
2194-IIQOF,71,89.3,6388.65,biennial,Credit card (automatic),0,0,1,0,6,0,4,0,15,-10.1,2024-01-09,0
7754-IXRMC,1,45.35,45.35,monthly,Mailed check,0,0,0,0,0,12,5,0,13,2.0,2024-01-09,0
8548-AWOFC,66,63.85,4264.6,monthly,Electronic check,0,0,1,0,2,22,3,0,19,9.2,2024-01-09,0
0771-WLCLA,16,112.95,1882.55,monthly,Electronic check,1,0,1,1,5,9,1,0,10,0.3,2024-01-10,0
0219-QAERP,30,19.8,576.65,annual,Credit card (automatic),0,0,1,0,0,11,5,0,2,-49.6,2024-01-10,0
9274-UARKJ,15,83.2,1130.0,monthly,Bank transfer (automatic),1,0,0,0,2,12,5,1,8,25.5,2024-01-10,0
8433-WXGNA,2,75.7,189.2,monthly,Electronic check,1,0,0,0,1,10,7,3,34,-31.5,2024-01-10,1
1302-UHBDD,20,89.95,1648.45,monthly,Electronic check,0,1,0,0,2,21,3,2,7,0.2,2024-01-10,0
7392-YYPYJ,22,100.65,2415.95,monthly,Electronic check,1,0,0,0,3,13,6,2,8,17.2,2024-01-10,0
0817-HSUSE,1,75.5,75.5,monthly,Electronic check,1,0,0,0,4,12,10,2,0,-2.1,2024-01-10,0
8707-HOEDG,70,110.2,7689.8,biennial,Electronic check,1,0,1,1,5,4,0,1,0,-11.3,2024-01-10,0
2277-AXSDC,32,19.75,624.15,annual,Bank transfer (automatic),0,0,0,0,0,2,6,0,10,-15.2,2024-01-10,0
5863-OOKCL,10,18.85,163.2,monthly,Mailed check,0,0,0,0,0,23,7,4,45,-3.4,2024-01-11,0
9931-KGHOA,46,55.0,2473.95,monthly,Bank transfer (automatic),0,0,1,0,1,15,6,1,1,62.3,2024-01-11,0
3359-DSRKA,58,19.85,1158.85,biennial,Mailed check,1,0,1,1,0,14,6,0,0,-5.6,2024-01-11,0
4002-BQWPQ,25,81.75,2028.8,monthly,Bank transfer (automatic),0,0,0,0,5,24,9,0,8,14.8,2024-01-11,0
2404-JIBFC,55,85.1,4657.95,biennial,Bank transfer (automatic),1,0,1,1,5,0,9,0,7,-2.4,2024-01-11,0
9297-EONCV,72,91.35,6697.2,biennial,Bank transfer (automatic),1,0,0,0,6,24,7,0,15,13.6,2024-01-11,0
1345-ZUKID,14,19.35,324.8,annual,Mailed check,0,0,0,0,0,10,5,0,16,29.0,2024-01-11,0
4328-VUFWD,39,59.3,2209.15,annual,Electronic check,0,0,0,0,2,33,1,0,20,12.7,2024-01-11,0
7446-YPODE,11,60.25,662.95,monthly,Bank transfer (automatic),0,1,0,0,2,11,9,1,0,15.6,2024-01-11,0
2045-BMBTJ,33,59.45,1884.65,monthly,Bank transfer (automatic),1,1,0,0,5,0,10,0,6,-48.7,2024-01-11,0
2985-FMWYF,23,93.5,2341.55,monthly,Electronic check,1,0,0,0,2,16,8,0,8,-11.8,2024-01-11,0
4146-SVFUD,1,44.6,44.6,monthly,Mailed check,0,0,0,0,0,7,10,0,20,-7.0,2024-01-11,0
8309-PPCED,72,110.45,7982.5,biennial,Bank transfer (automatic),1,0,1,0,5,8,5,1,0,23.7,2024-01-11,0
3577-AMVUX,1,55.05,55.05,monthly,Mailed check,0,0,0,0,2,14,8,1,1,-1.9,2024-01-11,0
7629-WFGLW,56,95.65,5471.75,annual,Electronic check,0,1,1,0,4,19,9,0,16,13.4,2024-01-12,0
2959-FENLU,9,85.3,781.4,monthly,Credit card (automatic),1,0,0,0,2,32,6,0,10,13.3,2024-01-12,0
5950-AAAGJ,18,84.3,1537.9,monthly,Bank transfer (automatic),0,0,0,0,1,5,10,0,8,-27.5,2024-01-12,0
1576-PFZIW,70,105.35,7511.9,biennial,Credit card (automatic),0,1,1,0,5,17,8,0,0,34.3,2024-01-12,0
0089-IIQKO,39,99.95,3767.4,monthly,Credit card (automatic),1,0,1,1,3,10,4,1,26,-13.1,2024-01-12,0
7521-YXVZY,3,19.95,58.3,monthly,Mailed check,0,0,0,1,0,22,3,0,18,35.9,2024-01-12,0
2267-WTPYD,57,94.0,5438.95,monthly,Credit card (automatic),0,1,1,0,3,22,7,0,24,-3.3,2024-01-12,0
5043-TRZWM,1,75.55,75.55,monthly,Electronic check,0,0,0,0,1,20,4,0,6,-16.1,2024-01-12,0
1696-HXOWK,71,95.65,6856.95,annual,Mailed check,0,0,1,0,3,23,4,0,4,18.8,2024-01-12,0
1035-IPQPU,63,103.5,6479.4,monthly,Electronic check,1,1,1,0,4,18,10,1,6,-11.7,2024-01-12,0
7134-MJPDY,66,102.85,6976.75,annual,Credit card (automatic),1,1,0,0,4,17,10,3,17,-30.2,2024-01-12,0
6856-RAURS,2,74.9,136.05,monthly,Mailed check,1,0,0,0,0,16,10,1,0,-17.5,2024-01-12,0
3500-NSDOA,68,70.8,4859.95,biennial,Credit card (automatic),0,0,1,1,3,26,3,0,14,8.4,2024-01-12,0
0730-KOAVE,30,94.3,2679.7,monthly,Credit card (automatic),1,0,0,0,3,9,9,0,9,-15.6,2024-01-12,0
9780-FKVVF,6,59.15,336.7,monthly,Bank transfer (automatic),1,0,0,0,2,25,5,0,15,-0.3,2024-01-12,0
1951-IEYXM,72,90.6,6441.85,biennial,Credit card (automatic),1,0,1,1,6,15,4,2,0,6.8,2024-01-12,0
2812-REYAT,49,20.05,923.1,annual,Bank transfer (automatic),1,0,1,0,0,25,2,0,2,15.1,2024-01-12,0
1017-FBQMM,62,106.05,6703.5,annual,Credit card (automatic),1,0,1,1,4,29,2,0,10,14.4,2024-01-12,0
2507-QZPQS,15,95.7,1451.1,monthly,Electronic check,0,0,0,0,3,22,3,0,0,-7.5,2024-01-12,0
3130-ICDUP,2,80.55,188.1,monthly,Credit card (automatic),0,0,0,1,1,19,6,0,10,15.0,2024-01-12,0
0786-IVLAW,66,108.1,7238.6,annual,Bank transfer (automatic),0,1,0,0,4,8,6,0,9,7.0,2024-01-13,0
2277-VWCNI,4,48.75,179.85,monthly,Mailed check,0,1,0,0,0,9,6,1,16,8.4,2024-01-13,0
7396-VJUZB,4,45.25,155.35,monthly,Mailed check,0,0,1,1,0,10,2,1,0,-8.0,2024-01-13,0
4652-ODEVH,45,24.45,1088.25,biennial,Mailed check,0,0,1,1,0,10,9,0,15,7.0,2024-01-13,0
9798-DRYDS,17,61.95,1070.7,annual,Mailed check,1,0,1,1,2,18,9,0,22,-45.5,2024-01-13,0
0621-CXBKL,53,18.7,1005.7,biennial,Mailed check,0,0,0,0,0,8,3,3,29,30.4,2024-01-13,0
1150-FTQGN,60,94.15,5811.8,annual,Bank transfer (automatic),0,0,1,1,3,13,6,0,8,19.8,2024-01-13,0
4145-UQXUQ,8,92.1,729.95,monthly,Electronic check,1,1,0,0,3,12,4,0,21,-27.8,2024-01-13,1
9289-LBQVU,64,70.15,4480.7,annual,Mailed check,1,0,1,0,3,21,2,0,0,29.1,2024-01-13,0
1663-MHLHE,1,19.2,19.2,monthly,Mailed check,0,0,0,0,0,22,7,0,17,-12.2,2024-01-13,0
7577-SWIFR,1,89.25,89.25,monthly,Electronic check,1,0,0,0,2,13,9,0,15,-27.0,2024-01-13,0
3521-HTQTV,34,26.1,980.35,biennial,Bank transfer (automatic),0,0,0,0,0,17,9,0,14,48.4,2024-01-13,0
0215-BQKGS,30,84.3,2438.6,monthly,Credit card (automatic),1,0,0,0,3,19,7,0,16,18.9,2024-01-13,0
7328-OWMOM,31,20.1,589.25,annual,Credit card (automatic),0,0,0,1,0,20,5,0,6,-31.1,2024-01-13,0
2208-NQBCT,26,81.95,2070.05,monthly,Electronic check,0,0,1,1,2,19,7,2,15,28.8,2024-01-13,0
1032-MAELW,68,78.45,5333.35,annual,Electronic check,1,0,1,1,5,14,6,1,2,27.8,2024-01-13,0
3489-HHPFY,2,84.05,134.05,monthly,Electronic check,1,0,1,0,1,31,5,1,19,-3.5,2024-01-13,0
6595-YGXIT,25,88.95,2291.2,monthly,Electronic check,1,1,0,0,2,14,6,0,9,-49.3,2024-01-13,1
9194-GFVOI,42,84.35,3571.6,biennial,Credit card (automatic),0,0,1,0,5,33,5,2,9,-30.6,2024-01-14,0
9730-DRTMJ,32,72.8,2333.05,annual,Credit card (automatic),1,0,1,0,3,24,6,2,7,1.5,2024-01-14,0
7622-FWGEW,56,85.65,4824.45,biennial,Bank transfer (automatic),1,1,1,0,6,24,8,1,12,32.4,2024-01-14,0
1320-REHCS,52,110.75,5832.0,monthly,Electronic check,1,1,0,0,5,10,5,1,0,27.0,2024-01-14,0
4980-URKXC,36,20.85,720.05,annual,Bank transfer (automatic),0,0,1,0,0,1,6,1,13,0.7,2024-01-14,0
3486-HOOGQ,70,79.7,5743.3,biennial,Bank transfer (automatic),0,0,1,1,5,15,5,1,17,7.2,2024-01-14,0
6854-EXGSF,8,65.5,573.15,monthly,Bank transfer (automatic),1,0,0,0,3,41,7,1,17,1.2,2024-01-14,0
8034-RYTVV,55,84.25,4589.85,annual,Credit card (automatic),1,0,0,0,2,7,3,0,5,8.5,2024-01-14,0
9822-WMWVG,41,106.5,4282.4,monthly,Electronic check,1,0,0,0,5,2,10,2,2,-20.1,2024-01-14,0
3259-QMXUN,58,86.1,4890.5,biennial,Electronic check,1,0,1,0,5,17,3,1,15,-14.0,2024-01-14,0
0017-DINOC,54,45.2,2460.55,biennial,Credit card (automatic),0,0,0,0,3,14,6,0,14,-9.3,2024-01-14,0
5091-HFAZW,2,91.15,168.5,monthly,Electronic check,1,0,0,0,3,11,10,1,33,-24.3,2024-01-14,0
6647-ZEDXT,30,110.45,3327.05,annual,Credit card (automatic),0,0,0,0,5,28,10,1,1,5.8,2024-01-14,0
7105-BENQF,15,64.85,950.75,annual,Mailed check,0,0,0,1,3,9,10,0,20,-32.3,2024-01-15,0
0258-NOKBL,3,90.4,268.45,monthly,Electronic check,0,0,0,0,3,11,8,0,15,14.3,2024-01-15,0
8008-ESFLK,53,110.5,5835.5,annual,Electronic check,0,0,1,0,6,4,3,0,10,-9.0,2024-01-15,0
2460-FPSYH,40,55.8,2109.35,monthly,Electronic check,1,1,0,0,4,23,4,1,13,-13.2,2024-01-15,1
2077-DDHJK,68,70.9,4911.35,biennial,Credit card (automatic),0,0,1,0,4,21,4,0,9,3.3,2024-01-15,0
2718-YSKCS,71,19.6,1387.45,biennial,Bank transfer (automatic),1,0,1,1,0,8,6,0,15,-14.3,2024-01-15,0
9932-WBWIK,11,20.35,215.25,monthly,Mailed check,0,0,0,0,0,0,5,0,2,2.2,2024-01-15,0
2272-UOINI,7,78.5,571.05,monthly,Electronic check,1,0,0,0,5,24,7,0,7,17.2,2024-01-15,0
2408-PSJVE,44,61.9,2924.05,monthly,Mailed check,1,0,1,1,3,35,7,0,0,-20.4,2024-01-15,0
9750-BOOHV,32,30.15,927.65,annual,Mailed check,0,0,0,0,1,18,6,0,10,-4.1,2024-01-15,0
3039-MJSLN,3,20.2,50.6,monthly,Bank transfer (automatic),0,0,0,1,0,19,4,1,8,19.2,2024-01-15,0
1389-WNUIB,20,76.0,1588.75,annual,Bank transfer (automatic),0,0,1,1,3,22,1,1,8,-26.9,2024-01-15,0
6923-AQONU,23,20.9,454.0,biennial,Mailed check,0,0,1,1,0,0,8,4,8,-37.9,2024-01-15,0
4530-NDRKU,42,19.05,761.85,annual,Electronic check,1,0,1,1,0,30,5,1,13,-25.3,2024-01-15,0
9848-JQJTX,72,100.9,7459.05,biennial,Bank transfer (automatic),1,0,0,0,4,6,9,0,15,18.3,2024-01-15,0
2788-CJQAQ,13,19.45,270.2,annual,Mailed check,0,0,0,0,0,25,3,2,8,8.5,2024-01-16,0
2937-FTHUR,18,64.8,1166.7,monthly,Electronic check,0,0,0,1,2,17,5,1,0,-2.1,2024-01-16,0
6357-JJPQT,3,80.5,232.35,monthly,Electronic check,1,0,0,0,1,22,4,1,0,14.4,2024-01-16,0
5549-ZGHFB,50,24.95,1261.45,biennial,Mailed check,0,0,1,1,0,0,5,0,5,18.1,2024-01-16,0
